eventID,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitudeSTART,decimalLongitudeSTART,decimalLatitudeEND,decimalLongitudeEND,geodeticDatum,coordinateUncertaintyInMeters,type,ownerInstitutionCode,,,,,
n1birds,Transect walks,Average of 30 Minutes walk along transect,"24,000",square metre,12/09/2023,16:00-16:30,,,Scotland,,"Lochranza, Isle of Arran",lowerN,55.7009082,-5.2708042,55.704307,-5.2799663,WGS84,,Event,,,,,,
n2birds,Transect walks,Average of 30 Minutes walk along transect,"14,000",square metre,13/09/2023,10:05-10:42,,,Scotland,,"Lochranza, Isle of Arran",midN,55.702472,-5.2707963,55.7059203,-5.2753271,WGS84,,Event,,,,,,
n3birds,Transect walks,Average of 30 Minutes walk along transect,"14,000",square metre,13/09/2023,11:04-11:34,,,Scotland,,"Lochranza, Isle of Arran",upperN,55.70833,-5.27487,55.7048685,-5.269265,WGS84,,Event,,,,,,
pointNbirds,Point count,30 minute count of all species seen and heard,,,14/09/2023,10:45-11:15,,,Scotland,,"Lochranza, Isle of Arran",centreN,55.70333,-5.2742,WGS84,,Event,,,,,,,,
NHS1,sweepnetting,5 Minutes walk along transect,,,14/09/2023,14:10,,"Strong Wind, Sunny, Dense Heather",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.70867,-5.276892,,,,,,,,,,,
NHS2,sweepnetting,5 Minutes walk along transect,,,14/09/2023,14:20,,"Strong Wind, Sunny, Heather",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.706838,-5.275091,,,,,,,,,,,
NHS3,sweep netting,5 Minutes walk along transect,,,14/09/2023,15:40,,"Strong Wind, Sunny, Semi imporved grassland acidic, heather, rhododendron, Bog",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.704924,-5.272508,,,,,,,,,,,
NHS4,sweep netting,5 Minutes walk along transect,,,14/09/2023,16:00,,"Sunny, Rush, bog",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.706514,-5.271503,,,,,,,,,,,
NHS5,sweep netting,5 Minutes walk along transect,,,14/09/2023,16:15,,"Sunny, Rush, Deer grass, Heather",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.707969,-5.270068,,,,,,,,,,,
NLP1,Pitfall trap,5 Minutes walk along transect,,,13/09/2023,Overnight,,Bracken,Scotland,,"Lochranza, Isle of Arran",NorthLow,55.706838,-5.282745,,,,,,,,,,,
NLP2,Pitfall trap,5 Minutes walk along transect,,,13/09/2023,Overnight,,"Path, Semiimproved acidic grassland, bracken",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.706218,-5.281645,,,,,,,,,,,
NLP3,Pitfall trap,5 Minutes walk along transect,,,13/09/2023,Overnight,,"Bracken, Hathorn",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.70549,-5.280592,,,,,,,,,,,
NLP4,Pitfall trap,5 Minutes walk along transect,,,13/09/2023,Overnight,,"Dense Bracken, Berry",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.704681,-5.27954,,,,,,,,,,,
NLP5,Pitfall trap,5 Minutes walk along transect,,,13/09/2023,Overnight,,"Dense Bracken, Berry",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.704196,-5.278583,,,,,,,,,,,
