eventID,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitudeSTART,decimalLongitudeSTART,decimalLatitudeEND,decimalLongitudeEND,geodeticDatum,coordinateUncertaintyInMeters,type,ownerInstitutionCode,,,,,
s1birds,Transect walks,Average of 30 Minutes walk along transect,"14,000",square metre,12/09/2023,16:00-16:30,,,Scotland,,"Lochranza, Isle of Arran",lowerS,55.699331,-5.284849,55.6981033,-5.2828772,WGS84,6,Event,,,,,,
s2birds,Transect walks,Average of 30 Minutes walk along transect,"14,000",square metre,13/09/2023,09:30-10:00,,,Scotland,,"Lochranza, Isle of Arran",midS,55.6986559,-5.2858015,55.6966166,-5.2833137,WGS84,8,Event,,,,,,
s3birds,Transect walks,Average of 30 Minutes walk along transect,"14,000",square metre,13/09/2023,10:23-10:53,,,Scotland,,"Lochranza, Isle of Arran",upperS,55.6980744,-5.2874668,55.6962886,-5.286808,WGS84,8,Event,,,,,,
pointSbirds,Point count,30 minute count of all species seen and heard,,,14/09/2023,10:07-10:37,,,Scotland,,"Lochranza, Isle of Arran",southeastS,55.6946488,-5.2753201,WGS84,8,Event,,,,,,,,
SHS1ter-inverts,sweepNetting,5 Minutes walk along transect,,,13/09/2023,13:20,,"Cloudy, Grassland semi-improved acidic",Scotland,,,,,,,,,,,,,,,,
SHS2,sweepNetting,5 Minutes walk along transect,,,13/09/2023,13:30,,"Cloudy,Braken",Scotland,,,,,,,,,,,,,,,,
SHS3,sweepNetting,5 Minutes walk along transect,,,13/09/2023,13:45,,"Cloudy,Braken",Scotland,,,,,,,,,,,,,,,,
SHS4,sweepNetting,5 Minutes walk along transect,,,13/09/2023,14:05,,"Cloudy,Scrub",Scotland,,,,,,,,,,,,,,,,
SHS5,sweepNetting,5 Minutes walk along transect,,,13/09/2023,14:15,,"Cloudy,Scrub",Scotland,,,,,,,,,,,,,,,,
SHS6,sweepNetting,5 Minutes walk along transect,,,13/09/2023,14:30,,"Slight Drizzle,Scrub with grass understory",Scotland,,,,,,,,,,,,,,,,
SHS7,sweepNetting,5 Minutes walk along transect,,,13/09/2023,14:45,,"Slight Drizzle, Braken",Scotland,,,,,,,,,,,,,,,,
SLP1,PitfallTrap,5 Minutes walk along transect,,,13/09/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.69921,-5.284754,,,,,,,,How to interpret event IDs:,,,
SLP2,PitfallTrap,5 Minutes walk along transect,,,13/09/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.698752,-5.284324,,,,,,,,First Letter determines the slope:,S= South Slope,N=North Slope,
SLP3,PitfallTrap,5 Minutes walk along transect,,,13/09/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.697701,-5.283606,,,,,,,,Second Letter determines transect,L=Lower,M=Middle,H=High
SLP4,PitfallTrap,5 Minutes walk along transect,,,13/09/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.696677,-5.283175,,,,,,,,Third Letter determines the method,S=Sweep-netting,P=Pitfall,
SLP5,PitfallTrap,5 Minutes walk along transect,,,13/09/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.696407,-5.282793,,,,,,,,,,,
SLP6,PitfallTrap,5 Minutes walk along transect,,,13/09/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.695976,-5.282267,,,,,,,,,,,
SLP7,PitfallTrap,5 Minutes walk along transect,,,13/09/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.69541,-5.281645,,,,,,,,,,,
SLP8,PitfallTrap,5 Minutes walk along transect,,,13/09/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.695033,-5.281118,,,,,,,,,,,
SLS1,SweepNet,5 Minutes walk along transect,,,13/09/2023,10:00,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SLS2,SweepNet,5 Minutes walk along transect,,,13/09/2023,10:20,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SLS4,SweepNet,5 Minutes walk along transect,,,13/09/2023,10:40,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SLS5,SweepNet,5 Minutes walk along transect,,,13/09/2023,11:00,,Stream running through with myrtle,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SLS6,SweepNet,5 Minutes walk along transect,,,13/09/2023,11:20,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SMS1,sweep netting,5 Minutes walk along transect,,,13/09/2023,13:20,,"Overcast, Semi-improved acidic grassland",Scotland,,"Lochranza, Isle of Arran",SouthMid,55.698429,-5.285998,,,,,,,,,,,
