Main group,Taxon group,scientificName,Common name,Conservation action needed,Avoid negative impacts,Watching brief only,Link to Species Records on NBN Gateway,Threatened species,Legally protected species,S1 - on UKBAP list,S2International.Obligation,S3 - Rare in the UK (<16 10km sqs),S4 - <6 Scottish 10km sqs,S5 - >25% Scottish Decline,S6a - Endemic to Scotland,S6b - endemic sub-species/ race,Taxon Version Key,UKBAP Code
Mammals,land mammal,Arvicola amphibius,Water Vole,Yes,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,Yes,-,-,NHMSYS0020546253,115
Mammals,land mammal,Erinaceus europaeus,European Hedgehog,-,-,Yes,NBN map,-,-,Yes,-,-,-,,-,-,NBNSYS0000005078,2253
Mammals,land mammal,Felis silvestris,Wildcat,Yes,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,Yes,-,-,NHMSYS0000332741,2272
Mammals,land mammal,Lepus europaeus,Brown Hare,Yes,-,-,NBN map,-,-,Yes,-,-,-,Yes,-,-,NHMSYS0000080218,410
Mammals,land mammal,Lepus timidus,Mountain Hare,-,Yes,-,NBN map,-,HR 1994 3,-,-,-,-,Yes,-,-,NBNSYS0000005106,2379
Mammals,land mammal,Lutra lutra,Otter,-,Yes,-,NBN map,NT,"EPS 1,2,3",Yes,Yes,-,-,-,-,-,NBNSYS0000005133,428
Mammals,land mammal,Martes martes,Pine Marten,-,Yes,-,NBN map,-,"HR 1994 2,3",Yes,-,-,-,-,-,-,NHMSYS0000080190,2405
Mammals,land mammal,Microtus arvalis,Orkney Vole,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0000080208,
Mammals,land mammal,Mustela putorius,Polecat,-,Yes,-,NBN map,-,HR 1994 3,Yes,-,-,-,-,-,-,NBNSYS0000005129,2442
Mammals,land mammal,Myotis brandtii,Brandt's Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000528026,
Mammals,land mammal,Myotis daubentonii,Daubenton's Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000528028,
Mammals,land mammal,Myotis mystacinus,Whiskered Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000080183,
Mammals,land mammal,Myotis nattereri,Natterer's Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000080184,
Mammals,land mammal,Nyctalus noctula,Noctule,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000080186,2459
Mammals,land mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NHMSYS0000080187,
Mammals,land mammal,Pipistrellus pipistrellus,Pipistrelle,-,Yes,-,NBN map,-,"EPS 1,2,3",Yes,Yes,-,-,-,-,-,NHMSYS0020001356,
Mammals,land mammal,Pipistrellus pygmaeus,Soprano Pipistrelle,-,Yes,-,NBN map,-,"EPS 1,3",Yes,Yes,-,-,-,-,-,NBNSYS0100004720,519
Mammals,land mammal,Plecotus auritus,Brown Long-eared Bat,-,Yes,-,NBN map,-,"EPS 1,2,3",-,Yes,-,-,-,-,-,NBNSYS0000005102,2517
Mammals,land mammal,Rattus rattus,Black Rat,Yes,-,-,NBN map,-,-,-,-,Yes,Yes,Yes,-,-,NHMSYS0000080213,
Mammals,land mammal,Sciurus vulgaris,Red Squirrel,Yes,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NBNSYS0000005108,565
Reptiles & amphibians,amphibian,Bufo bufo,Common Toad,-,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000080159,2106
Reptiles & amphibians,amphibian,Epidalea calamita,Natterjack Toad,-,Yes,-,NBN map,-,"EPS 1,2,3",Yes,Yes,-,Yes,-,-,-,NHMSYS0020194825,173
Reptiles & amphibians,amphibian,Triturus cristatus,Great Crested Newt,-,Yes,-,NBN map,-,"EPS 1,2,3",Yes,Yes,-,-,-,-,-,NHMSYS0000080156,619
Reptiles & amphibians,reptile,Anguis fragilis,Slow-worm,-,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NBNSYS0000005072,2039
Reptiles & amphibians,reptile,Lacerta agilis,Sand Lizard,-,Yes,-,NBN map,-,"EPS 1,2,3",Yes,Yes,-,Yes,-,-,-,NBNSYS0000005070,397
Reptiles & amphibians,reptile,Vipera berus,Adder,-,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NBNSYS0000005075,2695
Reptiles & amphibians,reptile,Zootoca vivipara,Common Lizard,-,Yes,-,NBN map,-,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0001706186,2356
Birds,bird,Acrocephalus scirpaceus,Reed Warbler,-,Yes,-,NBN map,-,ELD,-,-,-,Yes,-,-,-,NHMSYS0000530130,
Birds,bird,Alauda arvensis,Sky Lark,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530139,80
Birds,bird,Alcedo atthis,Kingfisher,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530141,
